iter	Passed	Remaining
0	65	65874
1	66	33224
2	67	22423
3	68	16953
4	68	13679
5	69	11514
6	70	9946
7	70	8765
8	71	7843
9	71	7103
10	72	6501
11	72	6000
12	73	5574
13	73	5209
14	74	4894
15	75	4619
16	75	4377
17	76	4160
18	76	3964
19	77	3787
20	77	3634
21	78	3495
22	79	3369
23	79	3252
24	80	3140
25	81	3038
26	81	2941
27	82	2853
28	82	2770
29	83	2693
30	83	2622
31	84	2555
32	85	2492
33	85	2432
34	86	2375
35	86	2320
36	87	2270
37	87	2221
38	88	2175
39	88	2132
40	89	2091
41	89	2052
42	90	2016
43	91	1981
44	91	1948
45	92	1917
46	92	1885
47	93	1855
48	94	1826
49	94	1798
50	95	1771
51	95	1745
52	96	1722
53	96	1698
54	97	1675
55	98	1655
56	99	1638
57	99	1617
58	100	1600
59	100	1582
60	101	1565
61	102	1549
62	102	1531
63	103	1516
64	104	1504
65	105	1490
66	106	1479
67	107	1471
68	108	1465
69	110	1467
70	111	1456
71	111	1442
72	112	1427
73	112	1412
74	113	1397
75	113	1383
76	114	1369
77	114	1355
78	115	1342
79	115	1332
80	117	1327
81	118	1323
82	118	1310
83	119	1302
84	120	1295
85	121	1287
86	121	1277
87	122	1267
88	122	1257
89	123	1248
90	124	1240
91	124	1232
92	125	1224
93	126	1215
94	126	1207
95	127	1199
96	127	1190
97	128	1182
98	129	1174
99	129	1166
100	130	1159
101	130	1151
102	131	1144
103	132	1137
104	132	1131
105	133	1124
106	133	1118
107	134	1111
108	135	1104
109	135	1098
110	136	1092
111	136	1085
112	137	1082
113	138	1077
114	139	1071
115	139	1065
116	140	1058
117	140	1052
118	141	1047
119	142	1041
120	142	1036
121	143	1030
122	143	1025
123	144	1020
124	145	1015
125	145	1010
126	146	1004
127	146	1000
128	147	995
129	148	990
130	148	985
131	149	980
132	149	977
133	150	975
134	151	972
135	152	968
136	153	964
137	153	959
138	154	955
139	154	951
140	155	947
141	155	941
142	156	937
143	157	933
144	157	929
145	158	925
146	158	921
147	159	917
148	159	913
149	160	909
150	161	905
151	161	902
152	162	898
153	162	894
154	163	890
155	164	887
156	164	883
157	165	879
158	165	876
159	166	873
160	166	868
161	167	865
162	168	862
163	168	859
164	169	856
165	169	853
166	170	851
167	171	847
168	171	845
169	172	843
170	173	841
171	174	838
172	174	835
173	175	832
174	176	829
175	176	826
176	177	823
177	177	820
178	178	818
179	179	815
180	179	813
181	180	811
182	181	809
183	182	807
184	182	804
185	183	801
186	183	798
187	184	796
188	185	793
189	185	791
190	186	788
191	186	786
192	187	783
193	188	781
194	188	778
195	189	776
196	190	777
197	191	776
198	192	774
199	193	772
200	193	770
201	194	768
202	195	767
203	196	765
204	196	763
205	198	763
206	198	761
207	199	760
208	200	758
209	201	756
210	201	754
211	202	752
212	203	750
213	203	748
214	204	746
215	205	744
216	205	741
217	206	742
218	207	740
219	208	737
220	208	735
221	209	735
222	210	733
223	210	730
224	211	728
225	212	726
226	212	724
227	213	722
228	213	720
229	214	718
230	215	716
231	217	718
232	217	716
233	218	714
234	218	712
235	219	710
236	220	708
237	220	706
238	221	704
239	221	702
240	222	700
241	222	698
242	223	697
243	224	695
244	225	693
245	225	691
246	226	690
247	226	688
248	227	686
249	228	684
250	228	682
251	229	680
252	230	679
253	230	677
254	231	675
255	231	673
256	232	672
257	233	671
258	234	669
259	234	668
260	235	667
261	236	666
262	237	665
263	238	663
264	238	662
265	239	661
266	240	659
267	241	658
268	241	656
269	242	655
270	242	653
271	243	651
272	244	650
273	245	649
274	245	647
275	246	645
276	246	644
277	247	642
278	247	640
279	248	639
280	249	637
281	249	635
282	250	634
283	251	632
284	251	631
285	252	630
286	253	628
287	253	627
288	254	625
289	254	623
290	255	622
291	255	620
292	256	619
293	257	617
294	257	615
295	258	614
296	258	613
297	259	611
298	260	610
299	260	608
300	261	607
301	262	605
302	262	604
303	263	602
304	263	601
305	264	599
306	265	598
307	265	596
308	266	595
309	266	593
310	267	592
311	267	590
312	268	589
313	269	588
314	269	586
315	270	585
316	270	583
317	271	582
318	272	580
319	272	579
320	273	578
