iter	Passed	Remaining
0	59	59657
1	61	30470
2	62	20706
3	63	15840
4	64	12754
5	64	10695
6	65	9225
7	65	8118
8	66	7281
9	66	6627
10	67	6064
11	67	5598
12	68	5198
13	68	4856
14	69	4584
15	70	4333
16	70	4103
17	71	3901
18	72	3742
19	72	3576
20	73	3424
21	73	3285
22	74	3167
23	77	3136
24	78	3043
25	79	2964
26	79	2879
27	80	2799
28	81	2720
29	81	2647
30	82	2580
31	83	2517
32	84	2481
33	85	2426
34	86	2372
35	86	2324
36	88	2291
37	88	2250
38	90	2227
39	91	2194
40	92	2154
41	92	2117
42	93	2082
43	94	2049
44	94	2016
45	95	1985
46	96	1956
47	97	1926
48	97	1898
49	98	1872
50	99	1846
51	99	1821
52	100	1797
53	101	1782
54	103	1773
55	116	1971
56	117	1951
57	118	1924
58	124	1982
59	127	2004
60	128	1977
61	128	1950
62	129	1924
63	129	1898
64	130	1873
65	130	1850
66	131	1826
67	132	1811
68	133	1795
69	133	1774
70	134	1753
71	137	1768
72	137	1747
73	138	1728
74	152	1874
75	198	2415
76	200	2404
77	202	2389
78	202	2365
79	203	2342
80	204	2319
81	216	2426
82	217	2401
83	218	2379
84	219	2368
85	221	2352
86	222	2333
87	223	2315
88	224	2296
89	225	2277
90	226	2262
91	228	2251
92	229	2240
93	231	2235
94	233	2220
95	235	2219
96	237	2208
97	238	2196
98	239	2179
99	240	2165
100	241	2146
101	241	2127
102	242	2111
103	245	2115
104	247	2107
105	248	2092
106	248	2076
107	250	2071
108	252	2067
109	254	2057
110	255	2046
111	257	2038
112	257	2024
113	269	2090
114	270	2078
115	271	2067
116	271	2051
117	277	2076
118	278	2061
119	278	2045
120	279	2030
121	279	2013
122	280	1998
123	280	1983
124	281	1968
125	281	1953
126	281	1938
127	282	1924
128	287	1944
129	291	1953
130	293	1944
131	293	1932
132	297	1941
133	299	1934
134	300	1922
135	300	1911
136	328	2069
137	329	2057
138	331	2056
139	338	2080
140	340	2072
141	340	2059
